ticker
AET
ACS
AKS
AYE
AGN
ABC
APC
APOL
AVP
BHI
BLL
BCR
BBT
BBBY
BMS
BRK.B
BIG
BJS
BDK
BMC
BRCM
BF.B
CA
COG
CAM
CFN
CBG
CBS
CELG
CTL
CEPH
CHK
CTXS
COH
CCE
CSC
CPWR
CBE
CVH
DF
DNR
DO
DTV
RRD
DPS
ETFC
EK
ERTS
EMC
ESRX
FDO
FII
FISV
FLIR
FRX
FO
FPL
FTR
GPS
GENZ
GR
HAR
HRS
HCN
HNZ
HSP
HCBK
