ticker
AET
ACS
AKS
AYE
AGN
ABC
APC
APOL
AVP
BHI
BLL
BCR
BBT
BBBY
BMS
BRK.B
BIG
BJS
BDK
BMC
BRCM
BF.B
CA
COG
CAM
CFN
CBG
CBS
CELG
CTL
CEPH
CHK
CTXS
COH
CCE
CSC
CPWR
CBE
CVH
DF
DNR
DO
DTV
RRD
DPS
ETFC
EK
ERTS
EMC
ESRX
FDO
FII
FISV
FLIR
FRX
FO
FPL
FTR
GPS
GENZ
GR
HAR
HRS
HCN
HNZ
HSP
HCBK
RX
TEG
JEC
JNS
JDSU
KG
KFT
LLL
LM
LUK
LXK
LIFE
LTD
LLTC
LO
LSI
MRO
MEE
MFE
MHP
MJN
MWV
MHS
WFR
MDP
PCS
MIL
MOLX
MON
MWW
MOT
MXB
MYL
NSM
GAS
NBL
NOVL
NVLS
NYX
PTV
JCP
PBCT
POM
PBG
PKI
PXD
PCL
PCP
PGN
QLGC
Q
RSH
RTN
RHT
RAI
COL
RDC
SWY
SAI
SCG
SNI
SHLD
SIAL
SWN
STJ
SPLS
HOT
SRCL
SVU
SYMC
TE
TLAB
TSO
TIF
TWX
TWC
TIE
TMK
TSS
UTX
VAR
VIAb
WAG
WPO
WPI
WLP
WFMI
WIN
WYN
XLNX
XL
XTO
YHOO
ZMH
